Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
实现中国梦必须弘扬中国精神。中国精神就是以爱国主义为核心的民族精神，以改革创新为核心的时代精神。（    ）|正确|错误||||1||||||
建设和发展中国特色社会主义，最根本的是三个问题，即什么是社会主义、怎样建设社会主义，建设什么样的党、怎样建设党，实现什么样的发展、怎样发展。（  ）|正确|错误||||1||||||
2012年5月，习近平在河南考察时首次提出“新常态”。（    ）|正确|错误||||2|||||2014年5月，习近平在河南考察时首次提出“新常态”。|2014年5月，习近平在河南考察时首次提出“新常态”。
“富强、民主、文明、和谐”，是对美好社会的生动表述，也是从社会层面对社会主义核心价值观基本理念的凝练。（    ）|正确|错误||||2|||||“自由、平等、公正、法治”，是美好社会的生动表述，也是从社会层面社会主义核心价值观基本理念的凝练。|“自由、平等、公正、法治”，是美好社会的生动表述，也是从社会层面社会主义核心价值观基本理念的凝练。
“十三五”规划纲要提出，要贯彻落实新发展理念、适应把握引领经济发展新常态，必须在适度扩大总需求的同时，着力推进供给侧结构性改革，使供给能力满足广大人民日益增长、不断升级和个性化的物质文化和生态环境需要。 （    ）|正确|错误||||1||||||
《中国共产党廉洁自律准则》规定了“8个禁止”“52个不准”。（    ）|正确|错误||||2|||||《中国共产党廉洁自律准则》规定了“四个必须”“八条规范”。|《中国共产党廉洁自律准则》规定了“四个必须”“八条规范”。
普通党员用自己家的合法收入购买豪车、名表，党组织不能予以过问。（    ）|正确|错误||||2|||||属于生活奢靡。|属于生活奢靡。
组织迷信活动的属于违反组织纪律行为，给予撤销党内职务或者留党察看处分。（    ）|正确|错误||||2|||||组织迷信活动的属于违反政治纪律行为。|组织迷信活动的属于违反政治纪律行为。
取得、持有、实际使用运动健身卡、会所和俱乐部会员卡、高尔夫球卡等各种消费卡，违反了党的廉洁纪律。（    ）|正确|错误||||2|||||违反有关规定取得、持有、实际使用运动健身卡、会所和俱乐部会员卡、高尔夫球卡等各种消费卡，违反了党的廉洁纪律。|违反有关规定取得、持有、实际使用运动健身卡、会所和俱乐部会员卡、高尔夫球卡等各种消费卡，违反了党的廉洁纪律。
对违法违纪人员的组织处理，有的是独立适用，有的是附加于党纪政纪处分同时适用。（    ）|正确|错误||||1||||||
