Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
2012年11月29日，习近平率中共中央政治局常委到国家博物馆参观《复兴之路》基本陈列并发表重要讲话。习近平指出，（    ）就是中华民族近代最伟大的中国梦。|实现中华民族的伟大复兴|国强民富|人均GDP赶上并超过发达国家|中国崛起||1|||||教材P29：习近平指出，实现中华民族的伟大复兴，就是中华民族近代最伟大的中国梦。|教材P29：习近平指出，实现中华民族的伟大复兴，就是中华民族近代最伟大的中国梦。
走中国特色社会主义政治发展道路，必须坚持党的领导、人民当家作主、依法治国有机统一。对此，下列说法错误的是（    ）。|党的领导是人民当家作主和依法治国的根本保证|人民当家作主是社会主义民主政治的本质和核心|依法治国是党领导人民治理国家的基本方略|走中国特色社会主义政治发展道路必须参照西方模式不断修正||4||||||
2012年11月，党的十八大胜利召开，选举产生了以习近平为总书记的中央领导集体，提出了（     ）的战略任务。|实现中国梦|全面建成小康社会、夺取中国特色社会主义新胜利|人均GDP翻两番|五个全面||2|||||教材P29：2012年11月，党的十八大胜利召开，选举产生了以习近平为总书记的中央领导集体，提出了全面建成小康社会、夺取中国特色社会主义新胜利的战略任务。|教材P29：2012年11月，党的十八大胜利召开，选举产生了以习近平为总书记的中央领导集体，提出了全面建成小康社会、夺取中国特色社会主义新胜利的战略任务。
党的（    ）绘就全面依法治国新蓝图，为法治中国建设标定新的里程碑。|十八届二中全会|十八届三中全会|十八届四中全会|十八届五中全会||3|||||教材P36：党的十八届四中全会绘就全面依法治国新蓝图，为法治中国建设标定新的里程碑。|教材P36：党的十八届四中全会绘就全面依法治国新蓝图，为法治中国建设标定新的里程碑。
在2014年度全国税务工作会议上， 国家税务总局党组书记、局长王军代表总局党组提出到（     ）年实现税收现代化的奋斗目标。|2020|2025|2030|2035||1|||||教材P38：在2014年度全国税务工作会议上， 国家税务总局党组书记、局长王军代表总局党组提出到2020年实现税收现代化的奋斗目标。|教材P38：在2014年度全国税务工作会议上， 国家税务总局党组书记、局长王军代表总局党组提出到2020年实现税收现代化的奋斗目标。
党的十八届四中全会《决定》强调“坚持依法治国和以德治国相结合”。以下相关表述不正确的是（    ）。|国家和社会治理需要法律和道德共同发挥作用|法律主要发挥教化作用，道德主要发挥规范作用|强化法律对道德建设的促进作用，强化道德对法治文化的支撑作用|实现法律和道德相辅相成、法治和德治相得益彰。||2||||||
《中国共产党廉洁自律准则》明确了党员领导干部廉洁自律规范，第六条强调，廉洁用权，（    ） 。|自觉保持人民公仆本色           |自觉维护人民根本利益|自觉提升思想道德境界           |自觉带头树立良好家风||2|||||教材P46：第六条　廉洁用权，自觉维护人民根本利益。|教材P46：第六条　廉洁用权，自觉维护人民根本利益。
实施党纪处分，应当按照规定程序经党组织集体讨论决定，不允许任何个人或者少数人决定和批准。上级党组织对违犯党纪的党组织和党员作出的处理决定，下级党组织必须执行。以上表述概括的是下列那一项原则?（   ）|党员在党纪面前人人平等原则|实事求是原则|党要管党、从严治党原则|民主集中制原则||4|||||教材P57：（四）民主集中制。实施党纪处分，应当按照规定程序经党组织集体讨论决定，不允许任何个人或者少数人擅自决定和批准。上级党组织对违犯党纪的党组织和党员作出的处理决定，下级党组织必须执行。|教材P57：（四）民主集中制。实施党纪处分，应当按照规定程序经党组织集体讨论决定，不允许任何个人或者少数人擅自决定和批准。上级党组织对违犯党纪的党组织和党员作出的处理决定，下级党组织必须执行。
经查，某市税务局局长李某同时存在两种《中国共产党纪律处分条例》规定的违纪行为，按照规定应分别给予其警告和严重警告处分，最后组织决定应给予李某的处分为（   ）。|警告|严重警告|撤销党内职务|留党察看||3|||||教材P58：一人有《条例》规定的两种以上（含两种） 应当受到党纪处分的违纪行为，应当合并处理，按其数种违纪行为中应当受到的最高处分加重一档给予处分（党纪处分的种类依次为警告、严重警告、撤销党内职务、留党察看、开除党籍）。|教材P58：一人有《条例》规定的两种以上（含两种） 应当受到党纪处分的违纪行为，应当合并处理，按其数种违纪行为中应当受到的最高处分加重一档给予处分（党纪处分的种类依次为警告、严重警告、撤销党内职务、留党察看、开除党籍）。
对行政机关公务员政纪处分的种类是（    ）。|严重警告|降级|免职|辞退||2|||||教材P56：对行政机关公务员政纪处分的种类：警告、记过、记大过、降级、撤职、开除。|教材P56：对行政机关公务员政纪处分的种类：警告、记过、记大过、降级、撤职、开除。
