Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|Notes
中国梦，遵从的是“国家好、民族好、大家才会好”的历史逻辑，基本内涵是实现（     ），核心内涵是中华民族伟大复兴。|国家富强|民族振兴|人民幸福|环境优美|世界大同|1|2|3|||P32|P32
中国特色社会主义是由（     ）三位一体构成的，三者统一于中国特色社会主义伟大实践，这是党领导人民在建设社会主义长期实践中形成的最鲜明特色。|文化|理论体系|制度|道路|格局|2|3|4|||P34中国特色社会主义是由道路、理论体系、制度三位一体构成的，三者统一于中国特色社会主义伟大实践，这是党领导人民在建设社会主义长期实践中形成的最鲜明特色。|P34中国特色社会主义是由道路、理论体系、制度三位一体构成的，三者统一于中国特色社会主义伟大实践，这是党领导人民在建设社会主义长期实践中形成的最鲜明特色。
2014年12月，习近平在江苏省调研考察时提出“四个全面”的思想，即（    ）|全面建成小康社会|全面深化改革|全面依法治国|全面从严治党|全面惩治腐败|1|2|3|4||P382014年12月，习近平在江苏省调研考察时提出“四个全面” 的思想，即全面建成小康社会、全面深化改革、全面依法治国、全面从严治党。|P382014年12月，习近平在江苏省调研考察时提出“四个全面” 的思想，即全面建成小康社会、全面深化改革、全面依法治国、全面从严治党。
党风廉政建设责任主体及内容包括（    ）|党组对党风廉政建设负主体责任|纪委书记是党风廉政建设第一责任人|领导班子其他成员对职责范围内的党风廉政建设负主要领导责任|部门负责人对本部门党风廉政建设负直接责任|纪检监察部门负监督责任|1|3|4|5||P45 党组主要负责人是党风廉政建设第一责任人|P45 党组主要负责人是党风廉政建设第一责任人
建立健全问责典型问题通报曝光制度，采取（    ）方式问责的，一般应当向社会公开。|通报批评|组织处理 |纪律处分 |书面诫勉|组织调整|2|3|5|||P48受到问责的党的领导干部应当向问责决定机关写出书面检讨，并在民主生活会或者其他党的会议上作出深刻检查。建立健全问责典型问题通报曝光制度，采取组织调整或者组织处理、纪律处分方式问责的，一般应当向社会公开。|P48受到问责的党的领导干部应当向问责决定机关写出书面检讨，并在民主生活会或者其他党的会议上作出深刻检查。建立健全问责典型问题通报曝光制度，采取组织调整或者组织处理、纪律处分方式问责的，一般应当向社会公开。
下列哪几项行为应当给予党纪处分？（    ）。|经商办企业的|个人买卖股票或者进行其他证券投资的|从事有偿中介活动的|在国（境）外注册公司或者投资入股的|拥有非上市公司（企业）的股份或者证券的|1|3|4|5||P63|P63
税务人员违纪违法行为的组织处理形式包括（    ）|通报批评|扣发奖金|记过|责令待岗|取消执法资格|1|4|5|||P58|P58
下面属于2012版税务法定公文必备的基本组成部分有(   )。|发文机关标志|主送机关|标题|印章|签发人|1|3|||||
关于行政沟通，下列说法正确的有（    ）|书面沟通存在着可能耗费时间的不足|口头沟通直接迅速，但容易产生信息失真|正式沟通速度较快，且接受的一方对沟通意见参与的机会较多|非正式沟通的信息常被歪曲，各种不利于组织的小道消息四起|非语言沟通在一定条件下可以起到语言沟通所不能达到的特殊效果|1|2|4|5||P82|P82
党政机关国内公务接待应当坚持的原则有（    ）。|务实节俭|高效透明|热情周到|礼尚往来|尊重少数民族风俗习惯|1|2|5|||P86国内公务接待应当坚持有利公务、务实节俭、严格标准、简化礼仪、高效透明、尊重少数民族风俗习惯的原则；坚持为税收中心工作服务、方便机关正常工作往来的原则。|P86国内公务接待应当坚持有利公务、务实节俭、严格标准、简化礼仪、高效透明、尊重少数民族风俗习惯的原则；坚持为税收中心工作服务、方便机关正常工作往来的原则。
关于引导礼仪，下列说法正确的包括（    ）|引导来客在走廊行走时， 应走在客人左前方数步的位置|转弯或上楼梯时要有礼貌地说声“请这边走”， 并回头以手示意|如电梯无人服务，应让客人先进去，自己后进去，到达时则让客人先出|乘车时，上车要让领导和客人先上，自己后上|乘车时，下车要让领导和客人先下，自己后下|1|2|4|||P88在走廊时，应走在客人左前方数步的位置。乘电梯时，如有专人在电梯服务，应让客人先进，到达时也应让客人先出；如电梯无人服务，应自己先进去，再让客人进，到达时则让客人先出。乘车时要注意，上车要让领导和客人先上，自己后上，要主动为领导或来宾打开车门，并以手示意，待领导或来宾坐稳后再关门。车到目的地，自己要先下，为领导或客人打开车门。|P88在走廊时，应走在客人左前方数步的位置。乘电梯时，如有专人在电梯服务，应让客人先进，到达时也应让客人先出；如电梯无人服务，应自己先进去，再让客人进，到达时则让客人先出。乘车时要注意，上车要让领导和客人先上，自己后上，要主动为领导或来宾打开车门，并以手示意，待领导或来宾坐稳后再关门。车到目的地，自己要先下，为领导或客人打开车门。
税收具有（     ）的特征。|强制性|无偿性|返还性|固定性|比例性|1|2|4|||P88|P88
税收原则可以归纳为（    ）等四个方面。|财政原则|所得原则|公平原则|效率原则|法治原则|1|3|4|5||P89税收原则归纳为“财政、公平、效率和法治”等四个方面。|P89税收原则归纳为“财政、公平、效率和法治”等四个方面。
下列项目中属于税法要素的包括（    ）。|纳税义务人|征税对象|税率|纳税期限|法人|1|2|3|4||P89税法要素一般包括纳税义务人、征税对象、税率、税收优惠、纳税环节、纳税期限、纳税地点、法律责任等项目。|P89税法要素一般包括纳税义务人、征税对象、税率、税收优惠、纳税环节、纳税期限、纳税地点、法律责任等项目。
进项税额可以从销项税额中抵扣，要有合法有效的增值税抵扣凭证，包括（    ）|增值税专用发票|海关进口增值税专用缴款书|农产品收购发票|小规模纳税人开具的普通发票|中华人民共和国税收缴款凭证|1|2|3|5||P93第一，要有合法有效的增值税抵扣凭证，包括增值税专用发票（含货物运输业增值税专用发票、税控机动车销售统一发票，下同）、海关进口增值税专用缴款书、农产品收购发票、农产品销售发票和中华人民共和国税收缴款凭证。|P93第一，要有合法有效的增值税抵扣凭证，包括增值税专用发票（含货物运输业增值税专用发票、税控机动车销售统一发票，下同）、海关进口增值税专用缴款书、农产品收购发票、农产品销售发票和中华人民共和国税收缴款凭证。
消费税应纳税额的计算公式包括：（    ）。|应纳税额＝应税消费品的销售额×比例税率|应纳税额＝应税消费品的销售数量×定额税率|应纳税额＝销售额×比例税率＋销售数量×定额税率|应纳税额=[（材料成本＋加工费）÷（1－消费税税率）]×适用税率|应纳税额=当期销项税额-当期进项税额|1|2|3|4||P100|P100
关于消费税的纳税环节，正确的说法包括（    ）。|纳税人生产的应税消费品，于纳税人销售时纳税|纳税人自产自用的应税消费品，用于连续生产应税消费品的，于移送使用时纳税|委托加工的应税消费品，除受托方为个人外，由受托方在向委托方交货时代收代缴税款|对卷烟，除生产环节外，在批发环节加征从价税与从量税|金银首饰、钻石及钻石饰品消费税由生产环节征收改为零售环节征收|1|3|4|5||P101|P101
契税的征税范围中，权属转移的形式包括(     )。|国有土地使用权出让|房屋赠与|以土地、房屋权属作价投资、入股|以土地、房屋权属抵债|购买海外房产|1|2|3|4||P125|P125
关于契税的计税依据，下列说法中错误的有（    ）。|出让国有土地使用权的，其契税计税依据为承受人为取得该土地使用权而支付的全部经济利益|买卖装修的房屋，装修费用不应包括在计税价格内|土地使用权赠与、房屋赠与，由征收机关参照土地使用权出售、房屋买卖的市场价格核定|土地使用权交换、房屋交换的，为交换双方土地使用权或房屋中价格较高的一方|原已批准减征、免征契税的纳税人改变有关土地、房屋的用途，导致不再属于契税减征、免征范围的，应当补缴已经减征、免征的税款，其计税依据为纳税人改变用途时有关土地、房屋的计税价格|2|4|5|||P126 |P126 
关于城市维护建设税的下列说法中，正确的有（    ）。|城市维护建设税的计税依据，是指纳税人实际缴纳的“三税”税额，包括加收的滞纳金和罚款|实行出口货物免抵退税的生产企业，国家税务局正式审核批准的当期免抵的增值税税额，应按规定税率计算缴纳城市维护建设税|城市维护建设税具有附加税性质，当“三税”发生减免时，城市维护建设税相应发生税收减免|对出口产品退还增值税、消费税的，不退还已缴纳的城市维护建设税|对“三税”实行先征后返、先征后退、即征即退办法的，除另有规定外对随“三税”附征的城市维护建设税，一律不予退（返）还|2|3|4|5||P128 城市维护建设税的计税依据，是指纳税人实际缴纳的“三税”税额，不包括加收的滞纳金和罚款。|P128 城市维护建设税的计税依据，是指纳税人实际缴纳的“三税”税额，不包括加收的滞纳金和罚款。
甲公司依据新加坡的法律成立，但实际管理机构在中国上海，那么依照我国企业所得税法规定，该公司的应就来源于（     ）的所得缴纳企业所得税。|中国境内|中国境外|仅就中国境内|仅就中国境内和新加坡|仅就中国境内和来源于中国境外但与其实际管理机构有实际联系|1|2||||P102|P102
下列关于所得来源地的判断，符合我国企业所得税法规定的有（     ）|英国企业A在中国境内销售电视机取得收入，属于来源于境内的所得|中国企业B在日本投资设立企业甲收到其分配的股息收入，属于来源于境外的所得|中国企业C将使用过的大型生产设备出售给位于越南的乙企业收到的收入，属于来源于境外的所得|中国企业D将一处位于澳洲的房产转让给境内居民企业丙，属于来源于境内的所得|美国母公司E向境内子公司丁收取特许权使用费收入，属于来源于境内的所得|1|2|5|||P102|P102
根据企业所得税法规定，企业发生的在规定标准范围内准予扣除，超过部分准予在以后纳税年度结转扣除的有（    ）。|职工福利费支出|职工教育经费|与生产经营活动有关的业务招待费支出|符合条件的广告宣传费支出|公益性捐赠支出|2|4||||P105|P105
下列项目中，不得在计算应纳税所得额时扣除的有（    ）|工商部门的罚款|税收滞纳金|违约赔偿费|赞助支出|现金股利支出|1|2|4|5||P1061.在计算应纳税所得额时，下列支出不得扣除：（1）向投资者支付的股息、红利等权益性投资收益款项；（2）企业所得税税款；（3）税收滞纳金；（4）罚金、罚款和被没收财物的损失；（5）准予扣除的公益性捐赠支出以外的捐赠支出；（6）赞助支出；（7）未经核定的准备金支出；|P1061.在计算应纳税所得额时，下列支出不得扣除：（1）向投资者支付的股息、红利等权益性投资收益款项；（2）企业所得税税款；（3）税收滞纳金；（4）罚金、罚款和被没收财物的损失；（5）准予扣除的公益性捐赠支出以外的捐赠支出；（6）赞助支出；（7）未经核定的准备金支出；
下列有关非居民企业应纳税额的计算的说法中，正确的有（    ）|股息、红利等权益性投资收益，以收入全额减去投资成本后的余额为应纳税所得额|利息所得，以收入全额为应纳税所得额|租金所得，以收入全额为应纳税所得额|特许权使用费所得，以收入全额为应纳税所得额|转让财产所得，以收入全额减除财产净值后的余额为应纳税所得额|2|3|4|5||P108|P108
下列所得项目中，以取得的收入全额为应纳税所得额不得扣除任何费用的有（    ）|稿酬所得|股息所得|利息所得|特许权使用费所得|偶然所得|2|3|5|||P114六、特许权使用费所得每次收入不超过4000元的：应纳税所得额＝每次收入额－800每次收入超过4000元的：应纳税所得额＝每次收入额×（1－20%）|P114六、特许权使用费所得每次收入不超过4000元的：应纳税所得额＝每次收入额－800每次收入超过4000元的：应纳税所得额＝每次收入额×（1－20%）
下列行为中应当缴纳车辆购置税的有（    ）|居民个人张某购买小轿车自用|甲公司进口摩托车运至仓库准备售卖|农民李某受赠一辆农用运输车用于运输种子、化肥|居民孙某中奖获得一辆摩托车自用|汽车生产企业乙公司将自产的客车用作班车接送本企业员工|1|3|4|5||P127|P127
根据规定，税务人员在实施行政执法行为时，与纳税人、扣缴义务人或者其法定代表人、直接责任人有利害关系的，应当回避。该行政执法行为包括（     ）。|核定应纳税额|调整税收定额|进行税务检查|实施税务行政处罚||1|2|3|4||P142税务人员在核定应纳税额、调整税收定额、进行税务检查、实施税务行政处罚、办理税务行政复议时，与纳税人、扣缴义务人或者其法定代表人、直接责任人有下列关系之一的，应当回避：|P142税务人员在核定应纳税额、调整税收定额、进行税务检查、实施税务行政处罚、办理税务行政复议时，与纳税人、扣缴义务人或者其法定代表人、直接责任人有下列关系之一的，应当回避：
省以下税务局的稽查局具有行政执法资主体资格，但其执法权限有一定的限制。根据规定，税务局稽查局专司查处的案件是（    ）。|偷税案件            |逃避追缴欠税案件  |骗税案件            |抗税案件||1|2|3|4||P142专司偷税、逃避追缴欠税、骗税、抗税案件的查处。|P142专司偷税、逃避追缴欠税、骗税、抗税案件的查处。
纳税人有下列情形之一，税务机关有权核定其应纳税额的是（   ）。|依照法律、行政法规的规定可以不设置账簿|依照法律、行政法规的规定应当设置账簿但未设置|发生纳税义务，未按照规定的期限办理纳税申报|纳税人申报的计税依据明显偏低，又无正当理由||1|2|4|||P145纳税人有下列情形之一的，税务机关有权核定其应纳税额：（1）依照法律、行政法规的规定可以不设置账簿的；（2）依照法律、行政法规的规定应当设置账簿但未设置的；（3擅自销毁账簿或者拒不提供纳税资料的；（4）虽设置账簿，但账目混乱或者成本资料、收入凭证、费用凭证残缺不全，难以查账的；（5）发生纳税义务，未按照规定的期限办理纳税申报，经税务机关责令限期申报，逾期仍不申报的；（6）纳税人申报的计税依据明显偏低，又无正当理由的。|P145纳税人有下列情形之一的，税务机关有权核定其应纳税额：（1）依照法律、行政法规的规定可以不设置账簿的；（2）依照法律、行政法规的规定应当设置账簿但未设置的；（3擅自销毁账簿或者拒不提供纳税资料的；（4）虽设置账簿，但账目混乱或者成本资料、收入凭证、费用凭证残缺不全，难以查账的；（5）发生纳税义务，未按照规定的期限办理纳税申报，经税务机关责令限期申报，逾期仍不申报的；（6）纳税人申报的计税依据明显偏低，又无正当理由的。
根据规定，个人及其所扶养家属维持生活必需的住房和用品，不在强制执行措施的范围之内。但下列财产除外的是（   ）。|被执行人拥有的唯一一辆小汽车|被执行人自有的价值3000元的一根金项链|被执行人新近购入的价值4000元的一台电脑|登记在被执行人名下的一套豪华别墅||1|2|4|||P147个人及其所扶养家属维持生活必需的住房和用品，不在税收保全措施和强制执行措施的范围之内。但是，机动车辆、金银饰品、古玩字画、豪华住宅或者一处以外的住房不属于此处所称个人及其所扶养家属维持生活必需的住房和用品。 另外，税务机关对单价5000元以下的其他生活用品，也不采取税收保全措施和强制执行措施。|P147个人及其所扶养家属维持生活必需的住房和用品，不在税收保全措施和强制执行措施的范围之内。但是，机动车辆、金银饰品、古玩字画、豪华住宅或者一处以外的住房不属于此处所称个人及其所扶养家属维持生活必需的住房和用品。 另外，税务机关对单价5000元以下的其他生活用品，也不采取税收保全措施和强制执行措施。
下列各项中，须经县以上税务局（分局）局长批准，方可采取的措施是（     ）。|查询从事生产、经营纳税人和扣缴义务人在银行或者其他金融机构的存款账户|书面通知纳税人开户银行或者其他金融机构冻结纳税人的金额相当于应纳税款的存款|书面通知纳税人开户银行或者其他金融机构从纳税人冻结的存款中扣缴税款|将纳税人当年账簿、记账凭证、报表和其他有关资料调回税务机关检查||1|2|3|||P177|P177
