Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
已实行“三证合一、一照一码”登记模式纳税人对于工商登记已采集信息，税务机关不再重复采集；其他必要涉税基础信息，可在企业办理有关涉税事宜时，及时采集，陆续补齐。（    ）|正确|错误||||1|||||征管P132|征管P132
根据税收法律、行政法规的规定可不办理税务登记的扣缴义务人，应当自扣缴义务发生之日起15日内，向机构所在地税务机关申报办理扣缴税款登记。（    ）|正确|错误||||2|||||征管P133应为30日|征管P133应为30日
税（费）种认定是税务机关根据纳税人税（费）种登记申请信息，结合税务登记、相关认定管理、税收优惠管理等信息，通过调查核实后，对纳税人应纳税的税（费）种、税（费）目、税（费）率、征期类型、申报期限、纳税期限、征收方式、预算科目、预算级次、金库名称进行认定及变更，为税款征收提供信息的过程。（    ）|正确|错误||||1|||||征管P134|征管P134
除财政部、国家税务总局另有规定外，纳税人自其选择的一般纳税人资格生效之日起，按照增值税一般计税方法计算应纳税额，并按照规定领用增值税专用发票。（   ）|正确|错误||||1|||||征管P136|征管P136
纳税人因不可抗力因素，导致发生较大损失，正常产经营活动受到较大影响的，或者当期货币资金在扣除应付职工工资、社会保险费后不足缴纳税款的，经省、自治区、直辖市国家税务局、地方税务局批准，可以延期缴纳税款，但最长不得超过6个月。（    ）|正确|错误||||2|||||征管P140应为3个月|征管P140应为3个月
增值税专用发票由国务院税务主管部门确定的企业印制；其他发票，按照国务院税务主管部门的规定，由省、自治区、直辖市税务机关确定的企业印制。禁止私自印制、伪造、变造发票。（    ）|正确|错误||||1|||||征管P139|征管P139
自2016年4月1日起，符合条件的小型微利企业，实行按季度申报预缴企业所得税。（   ）|正确|错误||||1|||||征管P141|征管P141
纳税年度中间新开业（包括试生产、试经营）或纳税年度中间终止经营活动的纳税人，无论是否在减税、免税期间，也无论盈利或亏损，均应按照企业所得税法及其实施条例和有关规定进行居民企业所得税年度申报。（    ）|正确|错误||||1|||||征管P142|征管P142
《非货币性资产投资递延纳税调整明细表》的报送条件为实行查账征收的居民企业以非货币性资产对外投资确认的非货币性资产转让所得，在自确认非货币性资产转让收入年度起不超过连续3个纳税年度的期间内，分期均匀计入相应年度的应纳税所得额的，应在非货币性资产转让所得递延确认期间每年企业所得税汇算清缴时报送。（    ）|正确|错误||||2|||||征管P142应为5个纳税年度|征管P142应为5个纳税年度
合伙企业有两个或两个以上自然人投资者的，应汇总进行生产、经营所得个人所得税年度纳税申报。（    ）|正确|错误||||2|||||征管P145应分别进行|征管P145应分别进行
同一种类应纳税凭证，需频繁贴花的，纳税人可以根据实际情况自行决定是否采用按期汇总缴纳印花税的方式。汇总缴纳的期限为一个月，采用按期汇总缴纳方式的纳税人应事先告知主管税务机关。缴纳方式一经选定，36个月内不得改变。（    ）|正确|错误||||2|||||征管P147应为一年内不得改变|征管P147应为一年内不得改变
定期定额户经营地点偏远、缴纳税款数额较小，或者税务机关征收税款有困难的，税务机关可以按照法律、行政法规的规定简并征期，但简并征期最长不得超过三个定额执行期。（    ）|正确|错误||||2|||||征管P148应为“一个定额执行期”|征管P148应为“一个定额执行期”
税务机关应主动公开A、B级纳税人名单及相关信息，并向社会公开D级纳税人名单。（    ）|正确|错误||||2|||||征管P157应主动公开A级纳税人名单|征管P157应主动公开A级纳税人名单
符合条件的境内技术转让所得减免征收企业所得税备案应报送县级或以上科技部门出具的技术合同登记证明复印件。（    ）|正确|错误||||2|||||征管P176应为省级|征管P176应为省级
简易程序处罚是指税务机关对违法事实确凿并有法定依据，对公民处以500元以下、对法人或者其他组织处以1000元以下罚款的行政处罚。（    ）|正确|错误||||2|||||征管P160公民处以50元以下|征管P160公民处以50元以下
直接或者委托送达税务文书的，以签收人或者见证人在送达回证上的签收或者注明的收件日期为送达日期；邮寄送达的，以挂号函件回执上注明的收件日期为送达日期，并视为已送达。如果同一送达事项的受送达人众多，或者采用上述规定的其他送达方式无法送达，税务机关可以公告送达税务文书，自公告之日起满30日，即视为送达。（    ）|正确|错误||||1|||||征管P163|征管P163
税务行政相对人同税务机关发生纳税争议时，如依法申请行政复议的，可以暂不缴纳税款。（    ）|正确|错误||||2|||||征管P164必须依照税务机关根据法律、法规确定的税额、期限，先行缴纳或者解缴税款和滞纳金，或者提供相应的担保，才可以依法申请行政复议|征管P164必须依照税务机关根据法律、法规确定的税额、期限，先行缴纳或者解缴税款和滞纳金，或者提供相应的担保，才可以依法申请行政复议
当事人对税务机关的处罚决定、强制执行措施或者税收保全措施不服的，可以依法申请行政复议，也可以依法向人民法院起诉。（    ）|正确|错误||||1|||||征管P164|征管P164
根据《全国税务机关出口退（免）税管理工作规范（1.1版）》规定，岗位制约监督包括：审核同一企业同一批次的出口退（免）税，审核岗、调查评估岗不允许兼岗，预警分析岗不得兼任上述岗位。（    ）|正确|错误||||2|||||征管P183审核同一企业同一批次的出口退（免）税，审核岗、调查评估岗不允许兼岗，复审岗不得兼任上述岗位。|征管P183审核同一企业同一批次的出口退（免）税，审核岗、调查评估岗不允许兼岗，复审岗不得兼任上述岗位。
出口企业申报电子数据的离岸价与出口发票离岸价一致，但与相应出口货物报关单或《代理出口货物证明》的离岸价不一致的，应根据出口企业申报的出口货物报关单所载离岸价确定。（   ）|正确|错误||||2|||||征管P185出口企业申报电子数据的离岸价与出口发票离岸价一致，但与相应出口货物报关单或《代理出口货物证明》的离岸价不一致的，应根据出口企业申报的《出口货物离岸价差异原因说明表》等相关资料确定其是否合理。|征管P185出口企业申报电子数据的离岸价与出口发票离岸价一致，但与相应出口货物报关单或《代理出口货物证明》的离岸价不一致的，应根据出口企业申报的《出口货物离岸价差异原因说明表》等相关资料确定其是否合理。
根据《全国税务机关出口退（免）税管理工作规范（1.1版）》规定，出口退（免）税企业分类管理类别评定工作完成后的15个工作日内，申报受理岗应将管理类别评定结果告知出口企业，综合管理岗应主动公开出口退（免）税企业分类管理类别。（ ）|正确|错误||||2|||||征管P196出口退（免）税企业分类管理类别评定工作完成后的15个工作日内，申报受理岗应将管理类别评定结果告知出口企业，综合管理岗应将被评定为一类、四类管理类别的出口企业主动公开。|征管P196出口退（免）税企业分类管理类别评定工作完成后的15个工作日内，申报受理岗应将管理类别评定结果告知出口企业，综合管理岗应将被评定为一类、四类管理类别的出口企业主动公开。
以纳税人网上申报制度为基础和以风险管理为导向是税收管理现代化最重要的两大特征。（    ）|正确|错误||||2|||||征管P199以纳税人自主申报制度为基础和以风险管理为导向是税收管理现代化最重要的两大特征。|征管P199以纳税人自主申报制度为基础和以风险管理为导向是税收管理现代化最重要的两大特征。
除专门部门负责风险应对任务管理以外，其他部门亦可根据税收风险管理流程自行下发风险应对任务。（   ）|正确|错误||||2|||||征管P201建立风险应任务的整合机制，并明确专业部门负责风险应任务的扎口管理，其他部门均不得自行下发风险应任务。|征管P201建立风险应任务的整合机制，并明确专业部门负责风险应任务的扎口管理，其他部门均不得自行下发风险应任务。
情报信息加工就是税务机关对现有数据进行加工、整理的工程。对收集的结构化和非结构化的现有数据进行清洗、匹配、转换和存储，为情报分析应用提供稳定、可靠的数据源。（   ）|正确|错误||||2|||||征管P202情报信息加工就是税务机关原始数据进行加工、整理的工程。收集的结构化和非结构化的原始数据进行清洗、匹配、转换和存储，为情报分析应用提供稳定、可靠的数据源。|征管P202情报信息加工就是税务机关原始数据进行加工、整理的工程。收集的结构化和非结构化的原始数据进行清洗、匹配、转换和存储，为情报分析应用提供稳定、可靠的数据源。
风险管理融入税收管理基本流程确立 “前台服务＋后台风险管理”的总体税收基本格局（   ）|正确|错误||||1|||||征管P203|征管P203
税务稽查是税收风险管理的主要手段，是税收执法的主要方式。（   ）|正确|错误||||2|||||征管P204纳税评估是税收风险管理的主要手段，是税收执法的主要方式。|征管P204纳税评估是税收风险管理的主要手段，是税收执法的主要方式。
纳税评估作为日常征管工作中的一项重要管理手段，具有 “少而精”的特点。（    ）|正确|错误||||2|||||征管P205纳税评估作为日常征管工作中的一项重要管理手段，具有“多而广”的特点。|征管P205纳税评估作为日常征管工作中的一项重要管理手段，具有“多而广”的特点。
纳税人、扣缴义务人，纳税担保人同税务机关在纳税上发生争议时，必须先依照税务机关的纳税决定缴纳或者解缴税款及滞纳金或者提供相应的担保，然后可以依法申请行政复议。（   ）|正确|错误||||1|||||征管P206|征管P206
当事人对税务机关的处罚决定，强制执行措施或者税收保全措施不服的，可以依法申请行政复议，也可以依法向人民法院起诉。（   ）|正确|错误||||1|||||征管P206|征管P206
税收管理职责清单是负面清单，而不是正面清单。（   ）|正确|错误||||2|||||征管P206税收管理职责清单是正面清单，而不是负面清单。|征管P206税收管理职责清单是正面清单，而不是负面清单。
现代税收管理方式是依法、规范、高效开展纳税服务与税收执法所采取的各种方式、手段和措施的总称。（    ）|正确|错误||||1|||||征管P209|征管P209
加强纳税服务管理是税务机关适应新常态、应对新挑战，破解难题、缩小差距可资借鉴的、必然的路径选择。（   ）|正确|错误||||2|||||征管P211实施税收风险管理是税务机关适应新常态、应新挑战，破解难题、缩小差距可资借鉴的、必然的路径选择。|征管P211实施税收风险管理是税务机关适应新常态、应新挑战，破解难题、缩小差距可资借鉴的、必然的路径选择。
就大企业而言，在信息报送和自我评定环节，除了满足税法规定的一般性信息报送要求，大企业还要按照合作遵从的原则，向税务机关全方位地披露各类涉税信息。（   ）|正确|错误||||1|||||征管P212|征管P212
实施分类分级管理的路径是按照 “先行业、后规模，兼顾特殊类型”等标准对纳税人进行科学分类，同时，将优质征管人力资源向重点税源管理，向解决特定性问题优先配置，实施分类分级管理。（    ）|正确|错误||||2|||||征管P212按照“先规模、后行业，兼顾特殊类型”等标准纳税人进行科学分类，同时，将优质征管人力资源向重点税源管理，向解决特定性问题优先配置，实施分类分级管理。|征管P212按照“先规模、后行业，兼顾特殊类型”等标准纳税人进行科学分类，同时，将优质征管人力资源向重点税源管理，向解决特定性问题优先配置，实施分类分级管理。
税务行政处罚权是税务机关依法对纳税人、扣缴义务人、纳税担保人等税务行政相对人违反税收法律、法规、规章的规定尚未构成犯罪的行为进行处罚的权力。（    ）|正确|错误||||1|||||征管P216|征管P216
人民法院审理行政案件审理的核心是审查被诉行政行为是否符合程序。（   ）|正确|错误||||2|||||征管P219审理的核心是审查被诉行政行为是否合法|征管P219审理的核心是审查被诉行政行为是否合法
征税遵从是税务机关和税务人员按照国家税法的要求，通过规范的税收管理行为，保证国家税法的正确贯彻落实。（   ）|正确|错误||||1|||||征管P220|征管P220
