Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
关于一般纳税人资格登记，以下说法错误的是：（   ）|营改增试点实施前已取得增值税一般纳税人资格并兼有应税行为的试点纳税人，不需要重新办理增值税一般纳税人资格登记手续，由主管国税机关制作、送达《税务事项通知书》，告知纳税人。|营改增试点实施前应税行为年应税销售额未超过500万元的试点纳税人，会计核算健全，能够提供准确税务资料的，也可以向主管国税机关办理增值税一般纳税人资格登记。|营改增试点实施前，试点纳税人增值税一般纳税人资格登记可由省国税局采取预登记措施。|营改增试点实施后，符合条件的试点纳税人应当办理增值税一般纳税人资格登记。按照营改增有关规定，应税行为有扣除项目的试点纳税人，其应税行为年应税销售额按扣除之后的销售额计算。||4||||||
主管税务机关可以在一定期限内，对发生增值税偷税数额占应纳税额的10%以上并且偷税数额在10 万元以上的、骗取出口退税的、虚开增值税扣税凭证的，或者国家税务总局规定的其他情形的增值税一般纳税人实行不少于（   ）的纳税辅导期管理。|一个月|三个月|六个月|十二个月||3||||||
以下不能办理一般纳税人简易办法征收备案的是：（   ）|一般纳税人提供的公共交通运输服务|一般纳税人以纳入营改增试点之日后取得的有形动产为标的物提供的经营租赁服务|一般纳税人为甲供工程提供的建筑服务|一般纳税人提供劳务派遣服务||2||||||
《增值税预缴税款表》中销售不动产的预征率为：（   ）|2%|3%|5%|1.5%||2||||||
以下关于企业所得税季度预缴的说法错误的是：（   ）|建筑企业总机构直接管理的跨地区设立的项目部，应按项目实际经营收入的2%按月或按季由总机构向项目所在地预分企业所得税，并由项目部向主管税务机关预缴。|小型微利企业符合享受优惠政策条件，但预缴时未享受的，在年度汇算清缴时统一计算享受。小型微利企业在预缴时享受了优惠政策，但年度汇算清缴时超过规定标准的，应按规定补缴税款。|按照企业所得税核定征收办法缴纳企业所得税的居民企业依照税收法律、法规、规章及其他有关企业所得税的规定，在规定的纳税期限内向税务机关提交《中华人民共和国企业所得税月（季）度预缴纳税申报表（B 类，2015 年版）》及其他相关资料，进行月（季）度预缴纳税申报。|月（季）度预缴纳税申报期限为月份或者季度终了之日起的15 日内，遇最后一日是法定休假日的，以休假日期满的次日为期限的最后一日；在期限内有连续3 日以上法定休假日的，按休假日天数顺延。||1|||||p142建筑企业总机构直接管理的跨地区设立的项目部，应按项目实际经营收入的0.2%按月或按季由总机构向项目所在地预分企业所得税，并由项目部向主管税务机关预缴。|p142建筑企业总机构直接管理的跨地区设立的项目部，应按项目实际经营收入的0.2%按月或按季由总机构向项目所在地预分企业所得税，并由项目部向主管税务机关预缴。
政策性搬迁企业，应当自搬迁开始年度，至次年5月31日前，向税务机关（    ）报送“政府搬迁文件或公告”“搬迁重置总体规划”“拆迁补偿协议”“资产处置计划”“其他与搬迁相关的事项”。|迁入地|迁出地和迁入地|迁出地|迁出地或迁入地||2||||||
因解散、破产、重组等原因终止生产经营活动，或不再持续经营，需依法对资产、债权、债务进行清算的居民企业，应当在办理注销登记之前，以整个清算期间作为一个纳税年度，依法计算清算所得及其应纳所得税，自清算结束之日起（  ）内，向税务机关报送《中华人民共和国企业清算所得税申报表》及附表、其他相关资料，进行纳税申报。企业在办理所得税清算申报前，应当自实际经营终止之日起（  ）内，先向主管税务机关办理年度企业所得税汇算清缴，依法缴纳企业所得税。（    ）|15 日60日|15 日 30日|30 日60日|30 日 30日||1||||||
下列关于合伙企业个人所得税申报的说法中错误的是：（    ）|投资兴办两个或两个以上企业，并且其中含有合伙企业的投资者，应依照税收法律、法规、规章及其他有关规定，在年度终了后3 0日内，应填报《个人所得税生产经营所得纳税申报表（C 表）》，汇总从所有企业取得的应纳税所得额，据此确定适用税率并计算缴纳应纳税款，向税务机关进行纳税申报。|合伙企业投资者应向经常居住地主管税务机关申报纳税，办理汇算清缴，但经常居住地与其兴办企业的经营管理所在地不一致的，应选定其参与兴办的某一合伙企业的经营管理所在地为办理年度汇算清缴所在地。|合伙企业因在纳税年度中间开业、合并、注销及其他原因，导致该纳税年度的实际经营期不足1年的，对合伙企业自然人合伙人的生产经营所得计算个人所得税时，以其实际经营期为1个纳税年度，其本人的费用扣除标准，应按照其实际经营月份数，以每月3500元的减除标准确定。|合伙企业投资者在中国境内两处或者两处以上取得“个体工商户的生产、经营所得”和“对企事业单位的承包经营、承租经营所得”的，同项所得合并计算纳税的个人所得税年度汇总纳税申报。||1|||||p145投资兴办两个或两个以上企业，并且其中含有合伙企业的投资者，应依照税收法律、法规、规章及其他有关规定，在年度终了后3 个月内，应填报《个人所得税生产经营所得纳税申报表（C 表）》，汇总从所有企业取得的应纳税所得额，据此确定适用税率并计算缴纳应纳税款，向税务机关进行纳税申报。|p145投资兴办两个或两个以上企业，并且其中含有合伙企业的投资者，应依照税收法律、法规、规章及其他有关规定，在年度终了后3 个月内，应填报《个人所得税生产经营所得纳税申报表（C 表）》，汇总从所有企业取得的应纳税所得额，据此确定适用税率并计算缴纳应纳税款，向税务机关进行纳税申报。
以下哪项不是纳税人应进行土地增值清算的条件：（    ）|房地产开发项目全部竣工、完成销售的； |整体转让未竣工决算房地产开发项目的； |直接转让土地使用权的。|取得预售许可证满3年||4||||||
对于白酒生产企业销售给销售单位的白酒，生产企业消费税计税价格低于销售单位对外销售价格（不含增值税）（    ）以下的，税务机关应核定消费税最低计税价格。|30%|50%|70%|90%||3||||||
