Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
纳税人发生以下哪种情形的，应向主管税务机关申报办理注销税务登记：（    ）|纳税人发生解散、破产、撤销以及其他情形，依法终止纳税义务的|纳税人被工商行政管理机关吊销营业执照或者被其他机关予以撤销登记的|纳税人因住所、经营地点变动，不涉及改变税务登记机关的|境外企业在中国境内承包建筑、安装、装配、勘探工程和提供劳务的，项目完工、离开中国的|外国企业常驻代表机构驻在期届满、提前终止业务活动的|1|2|4|5||P132-133 纳税人发生以下情形的，向主管税务机关申报办理注销税务登记：1．纳税人发生解散、破产、撤销以及其他情形，依法终止纳税义务的；2．按规定不需要在工商行政管理机关或者其他机关办理注销登记的，但经有关机关批准或者宣告终止的；3．纳税人被工商行政管理机关吊销营业执照或者被其他机关予以撤销登记的；4．纳税人因住所、经营地点变动，涉及改变税务登记机关的；5．境外企业在中国境内承包建筑、安装、装配、勘探工程和提供劳务的，项目完工、离开中国的；6．外国企业常驻代表机构驻在期届满、提前终止业务活动的；7．非境内注册居民企业经确认终止居民身份的。8. 国地税实行协同办理注销登记的,一方税务机关在为纳税人办结注销登记手续后，应通过双方信息共享渠道，及时将信息传递至另一方。另一方根据接收到的信息及纳税人的申请，及时为纳税人办理注销登记。该事项不适用实施“一照一码”的纳税人。|P132-133 纳税人发生以下情形的，向主管税务机关申报办理注销税务登记：1．纳税人发生解散、破产、撤销以及其他情形，依法终止纳税义务的；2．按规定不需要在工商行政管理机关或者其他机关办理注销登记的，但经有关机关批准或者宣告终止的；3．纳税人被工商行政管理机关吊销营业执照或者被其他机关予以撤销登记的；4．纳税人因住所、经营地点变动，涉及改变税务登记机关的；5．境外企业在中国境内承包建筑、安装、装配、勘探工程和提供劳务的，项目完工、离开中国的；6．外国企业常驻代表机构驻在期届满、提前终止业务活动的；7．非境内注册居民企业经确认终止居民身份的。8. 国地税实行协同办理注销登记的,一方税务机关在为纳税人办结注销登记手续后，应通过双方信息共享渠道，及时将信息传递至另一方。另一方根据接收到的信息及纳税人的申请，及时为纳税人办理注销登记。该事项不适用实施“一照一码”的纳税人。
关于非正常户管理，以下哪种说法是错误的：（     ）|已办理税务登记的纳税人未按照规定的期限申报纳税，在税务机关责令其限期改正后，逾期不改正的，税务机关应当派工作人员实地检查，查无下落并且无可以强制执行的财物或虽有可以强制执行的财物但经采取强制执行措施仍无法使其履行纳税义务的，由税务人员制作非正常户认定书，存入纳税人档案，税务机关暂停其发票领用簿、发票的使用，但不暂停其税务登记证件。|纳税人被列入非正常户超过3 个月的，税务机关可以宣布其税务登记证件失效。|税务机关应在非正常户认定的次月，在办税场所或者广播、电视、报纸、期刊、网络等媒体上公告非正常户。|对没有欠税且没有未缴销发票的纳税人，认定为非正常户超过一年的，税务机关可以注销其税务登记证件。|国地税协同管理非正常户，通过信息共享渠道，及时传递非正常户证件失效、注销等信息。|1|4||||p134 已办理税务登记的纳税人未按照规定的期限申报纳税，在税务机关责令其限期改正后，逾期不改正的，税务机关应当派工作人员实地检查，查无下落并且无可以强制执行的财物或虽有可以强制执行的财物但经采取强制执行措施仍无法使其履行纳税义务的，由税务人员制作非正常户认定书，存入纳税人档案，税务机关暂停其税务登记证件、发票领用簿、发票的使用。对没有欠税且没有未缴销发票的纳税人，认定为非正常户超过两年的，税务机关可以注销其税务登记证件。国地税协同管理非正常户，通过信息共享渠道，及时传递非正常户注销信息。|p134 已办理税务登记的纳税人未按照规定的期限申报纳税，在税务机关责令其限期改正后，逾期不改正的，税务机关应当派工作人员实地检查，查无下落并且无可以强制执行的财物或虽有可以强制执行的财物但经采取强制执行措施仍无法使其履行纳税义务的，由税务人员制作非正常户认定书，存入纳税人档案，税务机关暂停其税务登记证件、发票领用簿、发票的使用。对没有欠税且没有未缴销发票的纳税人，认定为非正常户超过两年的，税务机关可以注销其税务登记证件。国地税协同管理非正常户，通过信息共享渠道，及时传递非正常户注销信息。
以下说法正确的是：（     ）|增值税纳税人，年应税销售额超过财政部、国家税务总局规定的小规模纳税人标准的，除特殊规定外，应当向主管税务机关申请一般纳税人登记。所称年应税销售额，是指纳税人在连续不超过12个月的经营期内累计应征增值税销售额，不包括免税销售额。|年应税销售额，包括纳税申报销售额、稽查查补销售额、纳税评估调整销售额、税务机关代开发票销售额和免税销售额。稽查查补销售额和纳税评估调整销售额计入查补税款申报当月的销售额，不计入税款所属期销售额。年应税销售额未超过财政部、国家税务总局规定的小规模纳税人标准以及新开业的纳税人，可以向主管税务机关申请一般纳税人登记。|航空运输企业、电信企业总机构及其分支机构，一律由主管税务机关登记为增值税一般纳税人。|兼有销售货物、提供加工修理修配劳务以及应税行为的，应税货物及劳务销售额与应税行为销售额分别计算，分别适用增值税一般纳税人资格登记标准。|营改增试点实施前已取得增值税一般纳税人资格并兼有应税行为的试点纳税人，不需要重新办理增值税一般纳税人资格登记手续，由主管国税机关制作、送达《税务事项通知书》，告知纳税人。|2|3|4|5||p135 增值税纳税人，年应税销售额超过财政部、国家税务总局规定的小规模纳税人标准的，除特殊规定外，应当向主管税务机关申请一般纳税人登记。所称年应税销售额，是指纳税人在连续不超过12个月的经营期内累计应征增值税销售额，包括免税销售额。|p135 增值税纳税人，年应税销售额超过财政部、国家税务总局规定的小规模纳税人标准的，除特殊规定外，应当向主管税务机关申请一般纳税人登记。所称年应税销售额，是指纳税人在连续不超过12个月的经营期内累计应征增值税销售额，包括免税销售额。
可以按季申报的税（费）种有：（    ）|增值税|印花税|文化事业建设费|城市维护建设税、教育费附加|企业所得税|1|3|4|5|||
下列资产损失，应以清单申报的方式向税务机关申报扣除： （    ）|企业在正常经营管理活动中，按照公允价格销售、转让、变卖非货币资产的损失； |企业各项存货发生的正常损耗； |企业固定资产达到或超过使用年限而正常报废清理的损失； |企业按照市场公平交易原则，通过各种交易场所、市场等买卖债券、股票、期货、基金以及金融衍生产品等发生的损失。|企业无法准确判别的资产损失|1|2|3|4||p142 下列资产损失，应以清单申报的方式向税务机关申报扣除:①企业在正常经营管理活动中，按照公允价格销售、转让、变卖非货币资产的损失；②企业各项存货发生的正常损耗；③企业固定资产达到或超过使用年限而正常报废清理的损失；④企业生产性生物资产达到或超过使用年限而正常死亡发生的资产损失；⑤企业按照市场公平交易原则，通过各种交易场所、市场等买卖债券、股票、期货、基金以及金融衍生产品等发生的损失。|p142 下列资产损失，应以清单申报的方式向税务机关申报扣除:①企业在正常经营管理活动中，按照公允价格销售、转让、变卖非货币资产的损失；②企业各项存货发生的正常损耗；③企业固定资产达到或超过使用年限而正常报废清理的损失；④企业生产性生物资产达到或超过使用年限而正常死亡发生的资产损失；⑤企业按照市场公平交易原则，通过各种交易场所、市场等买卖债券、股票、期货、基金以及金融衍生产品等发生的损失。
以下关于企业所得税汇算清缴的说法正确的是：（    ）|纳税年度中间新开业（包括试生产、试经营）或纳税年度中间终止经营活动的纳税人，无论是否在减税、免税期间，也无论盈利或亏损，均应按照企业所得税法及其实施条例和有关规定进行居民企业所得税年度申报。|政策性搬迁企业，应当自搬迁开始年度，至次年5月31日前，向税务机关（包括迁出地和迁入地）报送“政府搬迁文件或公告”“搬迁重置总体规划”“拆迁补偿协议”“资产处置计划”“其他与搬迁相关的事项”。|《非货币性资产投资递延纳税调整明细表》的报送条件为实行查账征收的居民企业以非货币性资产对外投资确认的非货币性资产转让所得，在自确认非货币性资产转让收入年度起不超过连续3个纳税年度的期间内，分期均匀计入相应年度的应纳税所得额的，应在非货币性资产转让所得递延确认期间每年企业所得税汇算清缴时报送。|有关符合特殊性税务处理的条件未发生改变的书面证明材料报送条件为企业重组后的连续12个月内不改变重组资产原来的实质性经营活动，企业重组中取得股权支付的原主要股东，在重组后连续12个月内，不得转让所取得的股权两类特殊性税务处理第二年二次备案时报送。|金融企业的同期同类贷款利率情况说明报送条件为非金融企业向非金融企业借款的利息支出，企业按照合同要求首次支付利息并进行税前扣除时报送。|1|2|4|5||p142 《非货币性资产投资递延纳税调整明细表》的报送条件为实行查账征收的居民企业以非货币性资产对外投资确认的非货币性资产转让所得，在自确认非货币性资产转让收入年度起不超过连续5个纳税年度的期间内，分期均匀计入相应年度的应纳税所得额的，应在非货币性资产转让所得递延确认期间每年企业所得税汇算清缴时报送。|p142 《非货币性资产投资递延纳税调整明细表》的报送条件为实行查账征收的居民企业以非货币性资产对外投资确认的非货币性资产转让所得，在自确认非货币性资产转让收入年度起不超过连续5个纳税年度的期间内，分期均匀计入相应年度的应纳税所得额的，应在非货币性资产转让所得递延确认期间每年企业所得税汇算清缴时报送。
以下关于房产税的说法错误的有：（     ）|房产税仅在城市、县城、建制镇征收|产权所有人、经营管理单位、承典人、房产代管人或者使用人，统称为扣缴义务人。| 房产税按年征收、分期缴纳。纳税期限由国务院规定。|自2009年1月1日起，外商投资企业、外国企业和组织以及外籍个人，依照《中华人民共和国房产税暂行条例》缴纳房产税。|房产税由产权所有人缴纳。产权属于全民所有的，由经营管理的单位缴纳；产权出典的，由承典人缴纳；产权所有人、承典人不在房产所在地的，或者产权未确定及租典纠纷未解决的，由房产代管人或者使用人缴纳。|1|2|3|||p146 房产税在城市、县城、建制镇和工矿区征收。房产税由产权所有人缴纳。产权属于全民所有的，由经营管理的单位缴纳。产权出典的，由承典人缴纳。产权所有人、承典人不在房产所在地的，或者产权未确定及租典纠纷未解决的，由房产代管人或者使用人缴纳。产权所有人、经营管理单位、承典人、房产代管人或者使用人，统称为纳税义务人。自2009年1月1日起，外商投资企业、外国企业和组织以及外籍个人，依照《中华人民共和国房产税暂行条例》缴纳房产税。房产税按年征收、分期缴纳。纳税期限由省、自治区、直辖市人民政府规定。|p146 房产税在城市、县城、建制镇和工矿区征收。房产税由产权所有人缴纳。产权属于全民所有的，由经营管理的单位缴纳。产权出典的，由承典人缴纳。产权所有人、承典人不在房产所在地的，或者产权未确定及租典纠纷未解决的，由房产代管人或者使用人缴纳。产权所有人、经营管理单位、承典人、房产代管人或者使用人，统称为纳税义务人。自2009年1月1日起，外商投资企业、外国企业和组织以及外籍个人，依照《中华人民共和国房产税暂行条例》缴纳房产税。房产税按年征收、分期缴纳。纳税期限由省、自治区、直辖市人民政府规定。
以下哪些企业不适用企业所得税核定征收办法：（    ）|享受《中华人民共和国企业所得税法》及其实施条例和国务院规定的一项或几项企业所得税优惠政策的企业（包括仅享受《中华人民共和国企业所得税法》第26条规定免税收入优惠政策的企业，以及享受小型微利企业优惠政策的纳税人）|会计、审计、资产评估、税务事务所|上市公司|银行、信用社、保险公司、证券公司|专门从事股权（股票）投资业务的企业|2|3|4|5||p150 下列纳税人不适用企业所得税核定征收办法：（1）享受《中华人民共和国企业所得税法》及其实施条例和国务院规定的一项或几项企业所得税优惠政策的企业（不包括仅享受《中华人民共和国企业所得税法》第26条规定免税收入优惠政策的企业，也不包括享受小型微利企业优惠政策的纳税人）；（2）汇总纳税企业；（3）上市公司；（4）银行、信用社、小额贷款公司、保险公司、证券公司、期货公司、信托投资公司、金融资产管理公司、融资租赁公司、担保公司、财务公司、典当公司等金融企业；|p150 下列纳税人不适用企业所得税核定征收办法：（1）享受《中华人民共和国企业所得税法》及其实施条例和国务院规定的一项或几项企业所得税优惠政策的企业（不包括仅享受《中华人民共和国企业所得税法》第26条规定免税收入优惠政策的企业，也不包括享受小型微利企业优惠政策的纳税人）；（2）汇总纳税企业；（3）上市公司；（4）银行、信用社、小额贷款公司、保险公司、证券公司、期货公司、信托投资公司、金融资产管理公司、融资租赁公司、担保公司、财务公司、典当公司等金融企业；
纳税信用信息采集是指税务机关对纳税人的记录和收集，纳税信用信息包括纳税人（  ）、（  ）、（  ）。纳税信用信息采集工作由国家税务总局和省级税务机关组织实施，按月采集。（     ）|信用历史信息|税务内部信息|外部信息|纳税人填报的纳税信用信息采集表|其他信息|1|2|3|||p157纳税信用信息采集是指税务机关对纳税人的记录和收集。纳税信用信息包括纳税人信用历史信息、税务内部信息、外部信息。纳税信用信息采集工作由国家税务总局和省级税务机关组织实施，按月采集。|p157纳税信用信息采集是指税务机关对纳税人的记录和收集。纳税信用信息包括纳税人信用历史信息、税务内部信息、外部信息。纳税信用信息采集工作由国家税务总局和省级税务机关组织实施，按月采集。
以下属于个人所得税减免核准项目的有（     ）|残疾、孤老、烈属减征个人所得税|其他地区地震受灾减免个人所得税|其他自然灾害受灾减免个人所得税|其他经国务院财政部门批准减税的可以减征个人所得税|解除劳动合同当地工资3倍以内免税|1|2|3|4|||
